genres,MaxHours,year_of_release
Action,1085635110,2012
Adventure,221707756,2011
Animation &amp; Modeling,1345545,2015
Audio Production,455463,2014
Casual,81708365,2015
Design &amp; Illustration,1930339,2012
Early Access,118902893,2013
Education,340567,2013
Free to Play,146213734,2013
Indie,446115272,2006
Massively Multiplayer,133376503,2013
Photo Editing,61659,2014
RPG,227959458,2011
Racing,37474907,2015
Simulation,444536391,2006
Software Training,412697,2014
Sports,41305040,2015
Strategy,145266750,2013
Utilities,2711695,2014
Video Production,1662650,2015
Web Publishing,1930339,2012
